事前健全度　事後健全度　点検間隔　グループ　説明変数（x2,x3）
4	5	1.93973	726	0.25755	0.41809
4	4	1.3726	121	0.30918	0.01103
4	4	0.73151	72	0.29098	0.01368
2	3	0.92877	826	0.00331	0.0036
2	2	2.07397	497	0.04232	0.00366
4	4	1.00822	493	0.47615	0.01151
5	5	0.50411	1154	0.03674	0.0045
4	5	1.08493	732	0.13649	0.08134
1	1	2	670	0.14878	0.0118
4	4	2.10137	1389	0.14965	0.01734
4	4	1.19178	578	0.2597	0.01404
3	5	2.0137	1191	0.42697	0.87235
3	4	2.30411	471	0.14228	0.00458
4	4	1.28219	1293	0.41242	0.00437
4	4	2	207	0.07927	0.01394
3	3	2.05479	908	0.1433	0.00367
4	4	0.90685	943	0.00735	0.00484
4	4	1.96164	728	0.3487	0.16754
5	5	1.96164	728	0.3487	0.16754
2	3	2.1863	957	0.06365	0.00822
5	5	1.10137	221	0.64405	0.29577
4	4	1.23562	72	0.29098	0.01368
4	4	1.99726	215	0.38196	0.00935
3	3	1.91507	1326	0.03895	0.00351
2	2	1.08493	1370	0.37308	0.00289
4	5	1.87945	1451	0.13525	0.00161
4	4	1.80274	382	0.61965	0.04639
4	4	1.26027	732	0.13649	0.08134
4	4	0.95616	1292	0.3227	0.00321
4	4	2.2137	382	0.61965	0.04639
4	4	0.95068	491	0.10344	0.0049
4	4	2.30959	729	0.57801	0.18224
1	1	2.07123	140	0.23884	0.00551
3	3	0.7589	558	0.09712	0.01391
2	3	2.02466	643	0.18667	0.00835
4	4	2.0274	121	0.30918	0.01103
1	2	0.70411	124	0.37163	0.01675
4	6	2.66849	913	0.02903	0.0058
4	4	0.54795	931	0.00919	0.00244
2	2	0.82192	204	0.42697	0.01364
4	5	2.07671	975	0.03674	0.00848
5	5	0.92329	773	0.0294	0.00963
3	3	1.97808	479	0	0.00224
3	3	2.03014	3	0.24312	0.00249
5	5	0.76712	491	0.10344	0.0049
2	2	1.4411	1460	1	0.00286
4	4	2.32055	1293	0.41242	0.00437
4	4	2.49041	121	0.30918	0.01103
1	2	2.06849	735	0.09979	0.0302
3	4	1.69589	1188	0.20577	0.01507
2	2	1.73425	1464	0.61423	0.00206
5	5	0.72877	721	0.4899	0.0031
3	3	1.90685	547	0.20577	0.00482
4	4	2.11233	586	0.00184	0.00753
2	2	2.43836	758	0.07638	0.05726
2	3	2.23288	924	0.02646	0.00424
3	3	1.93151	1335	0.09921	0.00196
5	5	1.10685	760	0.10765	0.41871
2	2	2.11233	1267	0.01268	0.00381
4	4	0.93151	81	0.25301	0.00599
4	4	0.92877	160	0.36157	0.00678
4	4	2.00274	215	0.38196	0.00935
3	3	2.03288	367	0	0.00224
5	5	1.05753	721	0.4899	0.0031
3	3	1.19452	490	0.20687	0.01909
4	4	1.03014	733	0.09262	0.07102
3	3	1.18356	1422	0.00367	0.00199
4	4	1.05753	1049	0.57801	0.0099
2	2	1.12329	1023	0.05982	0.00946
3	4	1.66027	1155	0.44086	0.00148
3	3	2.30137	1	0.42509	0.01995
5	5	1.9589	1191	0.42697	0.87235
1	1	0.78356	79	0.1265	0.01043
4	4	1.99452	112	0.06003	0.01277
5	5	2.0274	121	0.30918	0.01103
3	5	2.0274	121	0.30918	0.01103
2	3	1.34247	139	0.02886	0.00275
3	4	2.13973	531	0.24823	0.00331
3	3	1.87671	157	0.03587	0.01251
4	4	1.21096	703	0.34062	0.00997
2	3	1.9726	698	0.074	0.01078
5	5	2.26575	784	0.08783	0.01058
2	3	1.90137	1190	0.33177	0.47722
3	4	0.91233	493	0.47615	0.01151
4	4	0.99178	494	0.17222	0.14152
4	5	2.02466	786	0.04373	0.02269
2	2	2.2137	1239	0.55809	0.24321
3	3	0.98356	1316	0.38444	0.00277
2	2	2.13425	400	0.25301	0.00554
4	4	1.19178	578	0.2597	0.01404
5	5	1.10959	721	0.4899	0.0031
3	3	2.25479	557	0.11477	0.01668
3	3	1.32055	1187	0.093	0.08487
3	3	2.42192	378	0.51677	0.02238
3	3	0.94521	392	0.29354	0.06668
3	4	1.12055	762	0.03486	0.12419
2	3	2.07397	497	0.04232	0.00366
3	3	0.77808	1462	1	0.00279
3	3	1.89863	1190	0.33177	0.47722
3	3	1.87671	1429	0.05512	0.00255
3	3	0.85479	1296	0.41242	0.00352
3	3	1.8	236	0.37335	0.02211
3	3	1.92055	1168	0.19879	0.00053
4	4	1.76164	118	0.02988	0.00704
3	4	2.23014	1245	0.12777	0.0101
3	3	0.8274	72	0.29098	0.01368
5	5	0.73151	72	0.29098	0.01368
3	3	1.4411	644	0.18667	0.00997
3	3	1.78082	1161	0.04395	0.00251
3	3	1.19726	83	0.0801	0.00429
3	4	2.07945	32	0.03091	0.00977
5	5	0.73151	72	0.29098	0.01368
4	4	1.03562	81	0.25301	0.00599
3	3	1.74521	469	0.18353	0.00517
3	3	1.86575	725	0.48787	0.34171
3	5	2.0137	1191	0.42697	0.87235
3	3	2.13425	1262	0.04887	0.00351
3	5	1.6	1318	0.47469	0.00525
1	3	1.78904	908	0.1433	0.00367
3	3	0.9589	1356	0.00622	0.00319
5	5	0.74521	1149	0.02205	0.00272
4	4	1.19178	578	0.2597	0.01404
2	2	1.00548	578	0.2597	0.01404
3	3	2.19452	1448	0.04016	0.00549
5	5	1.30685	1067	0.00551	0.00163
6	7	1.39178	1154	0.03674	0.0045
3	3	1.96164	48	0.03356	0.00743
1	1	0.93973	1140	0.40132	0.00975
3	3	1.86849	712	0.16681	0.01218
4	4	0.56712	121	0.30918	0.01103
5	5	2.19452	641	0.44506	0.00458
2	3	1.71507	137	0.32987	0.01202
4	4	0.71781	1351	0.09124	0.00519
